brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price
Nissan,370Z Touring,2009,"37,500 mi.",Gasoline,332.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Orange,None reported,Yes,21500
Porsche,911 Carrera,2005,"46,200 mi.",Gasoline,325.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Black,None reported,Yes,49999
RAM,1500 Classic Tradesman,2019,"12,466 mi.",Gasoline,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Gray,None reported,Yes,28995
Toyota,Supra 3.0 Premium,2021,"12,500 mi.",Gasoline,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Yellow,Black,None reported,Yes,53500
Mercedes-Benz,GLE 350 Base 4MATIC,2020,"48,000 mi.",Gasoline,255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,49995
Mercedes-Benz,C-Class C 300 4MATIC,2021,"19,162 mi.",Gasoline,255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,38500
Lamborghini,Huracan EVO Base,2020,"6,246 mi.",Gasoline,5.2L V10 40V GDI DOHC,7-Speed Automatic with Auto-Shift,Nero Noctis,Nero Ade,None reported,Yes,267950
Cadillac,LYRIQ Luxury,2023,"1,090 mi.",,500.0HP Electric Motor Electric Fuel System,A/T,Gray,Silver,None reported,Yes,68750
Ford,Ranger Sport SuperCab,2009,"166,200 mi.",Gasoline,207.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,Gray,At least 1 accident or damage reported,Yes,6999
BMW,640 i,2016,"40,080 mi.",Gasoline,315.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,28499
Lexus,SC 430 Base,2002,"109,762 mi.",Gasoline,300.0HP 4.3L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,Blue,Brown,None reported,Yes,15000
Honda,Odyssey EX-L,2022,"18,385 mi.",Gasoline,280.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Red,Beige,None reported,Yes,37950
Ford,F-150 Limited,2019,"42,728 mi.",Gasoline,450.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Brown,None reported,Yes,45950
Tesla,Model S 100D,2017,"38,957 mi.",,Electric Motor Electric Fuel System,1-Speed A/T,Silver,Beige,None reported,Yes,46750
Chevrolet,Corvette Base,2007,"123,500 mi.",Gasoline,400.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Red,Beige,At least 1 accident or damage reported,Yes,27000
Dodge,Ram 1500 ST,2011,"188,000 mi.",Gasoline,210.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,At least 1 accident or damage reported,Yes,8500
Ford,Thunderbird Deluxe,2004,"39,000 mi.",Gasoline,280.0HP 3.9L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,,,22000
Ford,Mustang GT,2018,"53,782 mi.",Gasoline,460.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,At least 1 accident or damage reported,Yes,29950
Honda,Civic LX,2016,"111,000 mi.",Gasoline,158.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Blue,Black,None reported,Yes,13000
Ford,F-150 XLT,2019,"44,460 mi.",Gasoline,325.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Red,Gray,None reported,Yes,34500
Hyundai,Genesis Coupe 3.8 Base,2015,"60,000 mi.",Gasoline,348.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,17000
Lexus,GX 470 Base,2006,"152,000 mi.",Gasoline,263.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,Blue,Gray,At least 1 accident or damage reported,Yes,13995
Toyota,Tundra Limited,2022,"3,959 mi.",Gasoline,389.0HP 3.4L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Blue,Gray,None reported,Yes,55000
GMC,Terrain SLT-1,2015,"76,296 mi.",Gasoline,182.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Black,At least 1 accident or damage reported,Yes,9500
Ford,Mustang V6,2016,"54,000 mi.",Gasoline,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,None reported,Yes,23999
Ford,F-150 XLT,2021,"51,808 mi.",Gasoline,5.0L V8 32V PDI DOHC,10-Speed Automatic,Silver,Black,None reported,Yes,42388
Jeep,Wrangler Sport,2016,"74,139 mi.",Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Red,Black,None reported,Yes,23000
INFINITI,Q60 3.0t Red Sport 400,2022,"3,300 mi.",Gasoline,400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Red,Black,None reported,Yes,54000
Audi,A7 3.0T Premium Plus,2018,"45,843 mi.",Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,Yes,37000
Ford,F-350 Lariat Super Duty Crew Cab,2009,"130,200 mi.",Diesel,350.0HP 6.4L 8 Cylinder Engine Diesel Fuel,5-Speed A/T,White,Beige,None reported,Yes,28900
Cadillac,XT6 Premium Luxury AWD,2023,222 mi.,Gasoline,310.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,69000
BMW,M3 Base,2011,"72,277 mi.",Gasoline,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Red,None reported,Yes,34950
Mercedes-Benz,GL-Class GL 550,2011,"80,124 mi.",Gasoline,382.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,17500
Audi,S4 3.0T Premium Plus,2022,"10,900 mi.",Gasoline,349.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,53900
GMC,Sierra 2500 Denali,2017,"96,343 mi.",Diesel,445.0HP 6.6L 8 Cylinder Engine Diesel Fuel,6-Speed A/T,Blue,Beige,At least 1 accident or damage reported,Yes,53000
Jeep,Wrangler Unlimited Rubicon,2017,"20,172 mi.",Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,None reported,Yes,47500
Volvo,S60 B5 Inscription,2022,"14,280 mi.",Hybrid,247.0HP 2.0L 4 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,Blue,Black,None reported,Yes,36500
Honda,Civic Sport,2020,"22,227 mi.",Gasoline,2.0L I4 16V MPFI DOHC,Automatic CVT,Red,Black,,,25980
Lexus,RX 330 Base,2004,"151,896 mi.",Gasoline,230.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Gray,None reported,Yes,7900
Porsche,Panamera Base,2018,"61,000 mi.",Gasoline,330.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Gray,None reported,Yes,57500
Chevrolet,Caprice Classic Base,1996,"60,000 mi.",Gasoline,260.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Purple,Gray,,,18500
Nissan,Rogue SV,2023,"1,094 mi.",Gasoline,1.5L I3 12V GDI DOHC Turbo,Automatic CVT,Caspian Blue,Light Gray,None reported,,30999
Porsche,911 R,2016,719 mi.,Gasoline,4.0L H6 24V GDI DOHC,6-Speed Manual,White,Black / Brown,None reported,Yes,489000
Lexus,CT 200h Premium,2014,"131,200 mi.",Hybrid,134.0HP 1.8L 4 Cylinder Engine Gas/Electric Hybrid,A/T,Brown,Brown,None reported,Yes,14000
Jaguar,XF Luxury,2009,"91,491 mi.",Gasoline,300.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Beige,None reported,Yes,7000
BMW,Z4 sDrive28i,2016,"59,000 mi.",Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Beige,None reported,Yes,25000
Mitsubishi,Eclipse GS,2008,"189,500 mi.",Gasoline,162.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Red,Black,None reported,Yes,6000
Subaru,Outback 2.5i Limited,2014,"78,007 mi.",Gasoline,173.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,Blue,Black,None reported,Yes,14750
Kia,Telluride SX,2021,"38,612 mi.",Gasoline,3.8L V6 24V GDI DOHC,8-Speed Automatic,Ebony Black,Black,None reported,,42242
Jeep,Wrangler Sport,2000,"122,945 mi.",Gasoline,181.0HP 4.0L Straight 6 Cylinder Engine Gasoline Fuel,5-Speed M/T,Beige,Brown,None reported,Yes,13900
Mercedes-Benz,SLK-Class SLK 350,2012,"44,000 mi.",Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,White,At least 1 accident or damage reported,Yes,22222
BMW,M3 CS,2024,124 mi.,Gasoline,543.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Green,Black,None reported,Yes,145000
Ford,Transit-350 Base,2015,"150,000 mi.",Gasoline,310.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,At least 1 accident or damage reported,Yes,17100
Chevrolet,Corvette Stingray w/3LT,2022,"5,400 mi.",Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,Yes,89900
Volkswagen,Atlas 3.6L SEL Premium R-Line,2022,"14,000 mi.",Gasoline,276.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,None reported,Yes,46900
MINI,Cooper S Base,2012,"128,000 mi.",Gasoline,181.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,Yes,8500
Subaru,Ascent Touring 7-Passenger,2019,"71,273 mi.",Gasoline,260.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,Black,Brown,None reported,Yes,23900
Acura,RDX Advance Package,2021,"29,000 mi.",Gasoline,272.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,10-Speed A/T,Black,Black,None reported,Yes,39650
Nissan,Pathfinder SV,2019,"122,009 mi.",Gasoline,3.5 Liter,Automatic,Gray,Black,None reported,,18998
Subaru,Impreza 2.0i,2018,"93,000 mi.",Gasoline,152.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,CVT Transmission,Silver,Black,At least 1 accident or damage reported,Yes,16000
Tesla,Model Y Long Range,2022,"20,500 mi.",,425.0HP Electric Motor Electric Fuel System,1-Speed A/T,Gray,Black,None reported,Yes,46500
Audi,Q8 55 Premium Plus,2021,"30,000 mi.",Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,Black,Black,None reported,Yes,62000
Kia,Sportage Nightfall,2022,"26,468 mi.",Gasoline,2.4L I4 16V GDI DOHC,6-Speed Automatic,Pacific Blue,Black,At least 1 accident or damage reported,Yes,27875
RAM,1500 Laramie,2022,"12,940 mi.",Gasoline,5.7L V8 16V MPFI OHV,8-Speed Automatic,Bright White Clearcoat,Black,At least 1 accident or damage reported,,46999
Dodge,Charger SRT Hellcat Widebody,2023,"5,000 mi.",Gasoline,717.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,None reported,Yes,110000
RAM,1500 Longhorn,2019,"76,249 mi.",Gasoline,5.7L V8 16V MPFI OHV,8-Speed Automatic,Diamond Black,Mountain Brown,At least 1 accident or damage reported,,40995
Mercedes-Benz,G-Class G 63 AMG,2014,"49,899 mi.",Gasoline,536.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,72999
Kia,Sorento SXL,2019,"43,850 mi.",Gasoline,290.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,30000
Hyundai,Kona EV SEL,2019,"33,100 mi.",,201.0HP Electric Motor Electric Fuel System,1-Speed A/T,Black,Black,None reported,Yes,18200
Lexus,GX 470 Base,2004,"215,000 mi.",Gasoline,235.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,White,Beige,At least 1 accident or damage reported,Yes,7350
Volkswagen,Passat 2.0T R-Line,2021,"16,538 mi.",Gasoline,2.0 Liter TSI,Automatic,Reflex Silver,Titan Black,None reported,,25998
Bentley,Continental GTC Base,2013,"79,422 mi.",Gasoline,616.0HP 6.0L 12 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,Yes,64000
Hyundai,Kona N Base,2023,654 mi.,Gasoline,2.0L I4 16V GDI DOHC Turbo,8-Speed Automatic with Auto-Shift,Ultra Black,Black,None reported,Yes,34599
Maserati,GranTurismo Base,2008,"70,000 mi.",Gasoline,405.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,A/T,Blue,Brown,At least 1 accident or damage reported,Yes,13000
Ford,Bronco Sport Outer Banks,2021,"15,198 mi.",Gasoline,1.5L I3 12V PDI DOHC Turbo,8-Speed Automatic,Blue,Navy Pier,None reported,Yes,31621
Lexus,GX 470 Base,2008,"123,500 mi.",Gasoline,263.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,White,Gray,At least 1 accident or damage reported,Yes,14500
Land,Rover Range Rover Velar P250 S R-Dynamic,2020,"29,500 mi.",Gasoline,247.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Red,White,None reported,Yes,45000
Jeep,Wrangler Rubicon,2023,"7,000 mi.",Hybrid,285.0HP 3.6L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,Gray,Black,None reported,Yes,46000
Chevrolet,Corvette Base,2007,"20,200 mi.",Gasoline,400.0HP 6.0L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Red,Red,None reported,Yes,27500
BMW,M3 Base,2009,"112,000 mi.",Gasoline,420.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,At least 1 accident or damage reported,Yes,28000
Ford,Mustang GT Premium,2018,"26,840 mi.",Gasoline,460.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Black,None reported,Yes,42500
Lexus,GS 350 Base,2014,"85,275 mi.",Gasoline,3.5 Liter,Automatic,Nebula Gray Pearl,Black,At least 1 accident or damage reported,,23998
Nissan,350Z Touring,2006,"84,200 mi.",Gasoline,300.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Silver,Gray,None reported,Yes,10200
Lexus,RX 350 F SPORT Appearance,2021,"28,262 mi.",Gasoline,3.5 Liter,Automatic,Obsidian,–,None reported,,49998
Chevrolet,Corvette Grand Sport,2019,"13,100 mi.",Gasoline,460.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,7-Speed M/T,Silver,Red,None reported,Yes,61950
Buick,Encore Preferred,2019,"50,000 mi.",Gasoline,138.0HP 1.4L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Black,None reported,Yes,18795
Dodge,Challenger R/T,2021,"39,960 mi.",Gasoline,375.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Gray,At least 1 accident or damage reported,Yes,28500
Chevrolet,Camaro 2SS,2018,"75,151 mi.",Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Black,At least 1 accident or damage reported,Yes,45000
Mazda,MX-5 Miata Base,1999,"130,000 mi.",Gasoline,140.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,A/T,Green,Beige,At least 1 accident or damage reported,Yes,9000
Audi,Q8 55 Premium Plus,2021,"14,750 mi.",Hybrid,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,Transmission w/Dual Shift Mode,Silver,Black,None reported,Yes,61059
Lexus,LS 460 Base,2014,"123,256 mi.",Gasoline,386.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Beige,None reported,Yes,24995
Nissan,350Z Enthusiast,2003,"74,000 mi.",Gasoline,287.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Purple,–,None reported,Yes,11000
Audi,R8 5.2,2015,"51,000 mi.",Gasoline,550.0HP 5.2L 10 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,At least 1 accident or damage reported,Yes,102000
Ford,Transit Connect XLT,2016,"111,700 mi.",E85 Flex Fuel,169.0HP 2.5L 4 Cylinder Engine Flex Fuel Capability,A/T,White,Beige,None reported,Yes,15500
Maserati,Quattroporte S Q4 GranLusso,2018,"57,500 mi.",Gasoline,424.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Brown,None reported,Yes,41900
Land,Rover Range Rover Velar SVAutobiography Dynamic Edition,2020,"36,500 mi.",Gasoline,550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Red,None reported,Yes,72000
Porsche,Taycan Turbo,2020,"18,000 mi.",,616.0HP Electric Motor Electric Fuel System,A/T,Silver,Black,None reported,Yes,105000
Mercedes-Benz,E-Class E 550,2014,"80,581 mi.",Gasoline,402.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Beige,None reported,Yes,26000
Ford,Excursion Limited Ultimate,2002,"137,000 mi.",Diesel,250.0HP 7.3L 8 Cylinder Engine Diesel Fuel,4-Speed A/T,Gold,Gold,None reported,Yes,15000
Maserati,Levante GTS,2021,"19,513 mi.",Gasoline,3.8L V8 32V GDI DOHC Twin Turbo,8-Speed Automatic,Black,Red / Black,At least 1 accident or damage reported,Yes,84645
BMW,530e Base,2022,"22,700 mi.",Plug-In Hybrid,288.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,A/T,White,Black,None reported,Yes,47000
BMW,M240 i,2018,"61,000 mi.",Gasoline,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Blue,Black,At least 1 accident or damage reported,Yes,34000
Genesis,G80 3.3T Sport,2019,"57,500 mi.",Gasoline,365.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,A/T,Red,Black,None reported,Yes,32990
BMW,430 Gran Coupe i xDrive,2018,"29,025 mi.",Gasoline,2.0 Liter DOHC T/C,Automatic,Carbon Black Metallic,Black,None reported,,29998
Bentley,Continental GTC Base,2011,"20,200 mi.",E85 Flex Fuel,552.0HP 6.0L 12 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Black,Black,None reported,Yes,79950
Chevrolet,Silverado 1500 Base,2000,"97,000 mi.",Gasoline,200.0HP 4.3L V6 Cylinder Engine Gasoline Fuel,A/T,White,Gray,None reported,Yes,27500
Chevrolet,Corvette Base,1998,"7,666 mi.",Gasoline,340.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,4-Speed A/T,Red,Black,None reported,Yes,39500
Ford,Explorer XLT,2020,"17,000 mi.",Gasoline,300.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,10-Speed A/T,Blue,Black,At least 1 accident or damage reported,Yes,21000
Subaru,Outback 2.5 i Special Edition,2009,"181,870 mi.",Gasoline,169.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,6500
Ford,Explorer XLT,2020,"45,000 mi.",Gasoline,300.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,10-Speed A/T,Silver,Black,None reported,Yes,33500
Ford,F-150 XLT,2020,"67,516 mi.",Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,Automatic,Gray,Medium Light Camel,None reported,Yes,36994
Subaru,WRX Premium,2022,"7,738 mi.",Gasoline,271.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Orange,Black,At least 1 accident or damage reported,Yes,33000
GMC,Sierra 1500 Denali,2019,"43,433 mi.",Gasoline,5.3L V8 16V GDI OHV,Automatic,Onyx Black,Walnut,None reported,,51899
Toyota,GR86 Base,2022,"13,400 mi.",Gasoline,228.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Silver,Black,None reported,Yes,33499
MINI,Hardtop Cooper S,2022,"23,777 mi.",Gasoline,189.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,Black,None reported,Yes,30000
Acura,MDX 3.7L Advance,2011,"137,200 mi.",Gasoline,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Gray,None reported,Yes,12000
Kia,Optima SX Turbo,2017,"103,338 mi.",Gasoline,2.0L I4 16V GDI DOHC Turbo,6-Speed Automatic,Remington Red Metallic,Black,At least 1 accident or damage reported,,17238
Mercedes-Benz,AMG E 53 Base 4MATIC,2022,"13,000 mi.",Hybrid,429.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,9-Speed A/T,Silver,Black,None reported,Yes,81500
Mercedes-Benz,S-Class S 63 AMG,2008,"93,000 mi.",Gasoline,518.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,17800
RAM,1500 Big Horn,2020,"25,396 mi.",Gasoline,5.7L V8 16V MPFI OHV,8-Speed Automatic,Maximum Steel Metallic,Black,None reported,Yes,43250
Toyota,Sequoia Platinum,2023,"1,025 mi.",Hybrid,437.0HP 3.4L V6 Cylinder Engine Gas/Electric Hybrid,10-Speed A/T,Black,Black,None reported,Yes,85000
Land,Rover LR4 HSE LUX Landmark Edition,2016,"144,000 mi.",Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,18000
Jeep,Wrangler Sahara,2008,"54,000 mi.",Gasoline,202.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,A/T,Green,Gray,None reported,Yes,20000
Porsche,911 Carrera,2010,"61,600 mi.",Gasoline,345.0HP 3.6L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,Yes,51750
Lexus,RX 350 F Sport,2016,"81,400 mi.",Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Red,At least 1 accident or damage reported,Yes,26000
Nissan,Armada LE,2009,"87,130 mi.",Gasoline,317.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,A/T,Brown,Black,None reported,Yes,20000
Ford,F-250 King Ranch,2021,"44,000 mi.",Diesel,475.0HP 6.7L 8 Cylinder Engine Diesel Fuel,10-Speed A/T,White,Brown,At least 1 accident or damage reported,Yes,73000
Jaguar,F-PACE S,2023,"4,624 mi.",Gasoline,2.0 Liter,Automatic,Santorin Black,Black,None reported,,56998
Chrysler,Sebring LX,2008,"67,303 mi.",Gasoline,173.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Blue,Blue,None reported,Yes,4900
Subaru,Outback Limited XT,2020,"36,844 mi.",Gasoline,2.4L H4 16V GDI DOHC Turbo,Automatic CVT,Magnetite Gray Metallic,Black,At least 1 accident or damage reported,,30427
Lexus,ES 350 Base,2010,"113,500 mi.",Gasoline,272.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Red,Beige,At least 1 accident or damage reported,Yes,11000
Mercedes-Benz,SLK-Class SLK320,2001,"59,500 mi.",Gasoline,215.0HP 3.2L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Blue,Beige,None reported,Yes,6500
Rolls-Royce,Ghost Base,2016,"8,755 mi.",Gasoline,563.0HP 6.6L 12 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,Yes,166900
Ford,Mustang Mach-E GT,2023,"9,095 mi.",,480.0HP Electric Motor Electric Fuel System,A/T,Orange,Gray,None reported,Yes,59000
Tesla,Model Y Long Range,2023,"4,786 mi.",,425.0HP Electric Motor Electric Fuel System,A/T,White,White,None reported,Yes,48000
Lexus,IS 350 Base,2015,"62,600 mi.",Gasoline,306.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Red,None reported,Yes,27500
Audi,RS 5 4.2,2014,"49,098 mi.",Gasoline,450.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,At least 1 accident or damage reported,Yes,44900
Audi,RS 4 Base,2007,"99,769 mi.",Gasoline,420.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Gray,White,None reported,Yes,29995
Jeep,Wrangler Unlimited Sport,2017,"84,786 mi.",Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Gray,Black,None reported,Yes,23500
Land,Rover Range Rover P525 Westminster,2021,"22,270 mi.",Gasoline,5.0L V8 32V GDI DOHC Supercharged,8-Speed Automatic,Gray,Ebony,None reported,,89900
Hyundai,IONIQ Plug-In Hybrid SEL,2022,"13,044 mi.",Plug-In Hybrid,139.0HP 1.6L 4 Cylinder Engine Plug-In Electric/Gas,A/T,Blue,Gray,At least 1 accident or damage reported,Yes,24999
Mitsubishi,Eclipse GT,2003,"146,000 mi.",Gasoline,200.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,4-Speed A/T,Gray,Black,At least 1 accident or damage reported,Yes,4200
Jeep,Wrangler X,2004,"44,000 mi.",Gasoline,190.0HP 4.0L Straight 6 Cylinder Engine Gasoline Fuel,M/T,Green,Green,At least 1 accident or damage reported,Yes,24999
Lamborghini,Gallardo SE,2006,"19,500 mi.",Gasoline,493.0HP 5.0L 10 Cylinder Engine Gasoline Fuel,6-Speed A/T,Green,Yellow,None reported,Yes,129000
RAM,2500 Big Horn,2018,"27,839 mi.",Gasoline,6.4L V8 16V MPFI OHV,6-Speed Automatic,Granite Crystal Clearcoat Metallic,Diesel Gray / Black,None reported,Yes,41688
Chevrolet,Camaro 2SS,2010,"68,000 mi.",Gasoline,426.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Gray,At least 1 accident or damage reported,Yes,19500
Lamborghini,Urus Base,2021,"9,500 mi.",Gasoline,641.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,Yes,279900
Chevrolet,Tahoe LT,2021,"71,536 mi.",Gasoline,5.3L V8 16V GDI OHV,10-Speed Automatic,Black,Jet Black,None reported,Yes,49685
Mercedes-Benz,AMG E 63 S 4MATIC,2019,"40,000 mi.",Gasoline,603.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,At least 1 accident or damage reported,Yes,72000
INFINITI,QX60 Base,2014,"95,400 mi.",Gasoline,265.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,Beige,,,14195
Mercedes-Benz,G-Class G 550,2020,"20,622 mi.",Gasoline,4.0 Liter Twin Turbo,Automatic,designo Diamond White Metallic,Black,None reported,,142998
Jeep,Wrangler Sport,2021,"11,756 mi.",Gasoline,"2L I-4 gasoline direct injection, DOHC, intercooled turbo, engin",Automatic,Granite Crystal Metallic Clearcoat,Black,At least 1 accident or damage reported,,33400
Jeep,Grand Cherokee Limited,2015,"93,400 mi.",E85 Flex Fuel,290.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability,A/T,White,Black,None reported,Yes,18900
